album,artistPrimary,artists,id,songLength,title,year,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,genre
Enta da Stage,Black Moon,Black Moon,6Xio661Y2iL7SDKFFOG9cv,270066,Who Got Da Props,1993,0.138,https://api.spotify.com/v1/audio-analysis/6Xio661Y2iL7SDKFFOG9cv,0.805,270067,0.653,0.0,8,0.1,-11.251,0,0.185,100.349,4,https://api.spotify.com/v1/tracks/6Xio661Y2iL7SDKFFOG9cv,audio_features,spotify:track:6Xio661Y2iL7SDKFFOG9cv,0.257,Boom Bap
Dead Serious,Das EFX,Das EFX,5Zo9KsvmGsFHfwA1zlKv6M,295373,Mic Checka,1992,0.0636,https://api.spotify.com/v1/audio-analysis/5Zo9KsvmGsFHfwA1zlKv6M,0.72,295373,0.626,0.0,7,0.114,-13.758,1,0.363,92.224,4,https://api.spotify.com/v1/tracks/5Zo9KsvmGsFHfwA1zlKv6M,audio_features,spotify:track:5Zo9KsvmGsFHfwA1zlKv6M,0.519,Boom Bap
The Sun Rises In The East,Jeru The Damaja,Jeru The Damaja,4kH2kmDkBe2fGIyPQnv3L5,297040,Come Clean - E New Y Radio,1994,0.624,https://api.spotify.com/v1/audio-analysis/4kH2kmDkBe2fGIyPQnv3L5,0.794,297040,0.772,4.07e-05,10,0.114,-13.957,0,0.327,87.546,4,https://api.spotify.com/v1/tracks/4kH2kmDkBe2fGIyPQnv3L5,audio_features,spotify:track:4kH2kmDkBe2fGIyPQnv3L5,0.597,Boom Bap
Illmatic XX,Nas,Nas,5FHXxdJeq1iAE9PjDTEgyd,290573,The World Is Yours,1994,0.274,https://api.spotify.com/v1/audio-analysis/5FHXxdJeq1iAE9PjDTEgyd,0.678,290573,0.794,1.68e-06,10,0.124,-6.186,0,0.14,87.374,4,https://api.spotify.com/v1/tracks/5FHXxdJeq1iAE9PjDTEgyd,audio_features,spotify:track:5FHXxdJeq1iAE9PjDTEgyd,0.54,Boom Bap
Enter The Wu-Tang (36 Chambers) [Expanded Edition],Wu-Tang Clan,Wu-Tang Clan,119c93MHjrDLJTApCVGpvx,252186,C.R.E.A.M.,1993,0.57,https://api.spotify.com/v1/audio-analysis/119c93MHjrDLJTApCVGpvx,0.479,252187,0.549,0.0239,11,0.127,-10.551,0,0.373,180.985,4,https://api.spotify.com/v1/tracks/119c93MHjrDLJTApCVGpvx,audio_features,spotify:track:119c93MHjrDLJTApCVGpvx,0.576,Boom Bap
Return To The 36 Chambers: The Dirty Version,Ol' Dirty Bastard,Ol' Dirty Bastard,3ABG1UQTk0eLYUAeWkmfMi,161400,Shimmy Shimmy Ya,1995,0.097,https://api.spotify.com/v1/audio-analysis/3ABG1UQTk0eLYUAeWkmfMi,0.814,161400,0.481,3.83e-05,0,0.0495,-5.183,1,0.245,96.252,4,https://api.spotify.com/v1/tracks/3ABG1UQTk0eLYUAeWkmfMi,audio_features,spotify:track:3ABG1UQTk0eLYUAeWkmfMi,0.193,Boom Bap
The Best Of Salt-N-Pepa 20th Century Masters The Millennium Collection,Salt-N-Pepa,Salt-N-Pepa,2c7H254xlKoGhmZT194C0T,247400,Shoop,2008,0.0816,https://api.spotify.com/v1/audio-analysis/2c7H254xlKoGhmZT194C0T,0.939,247400,0.72,0.0,0,0.147,-5.565,1,0.216,96.918,4,https://api.spotify.com/v1/tracks/2c7H254xlKoGhmZT194C0T,audio_features,spotify:track:2c7H254xlKoGhmZT194C0T,0.786,Boom Bap
Ready To Die The Remaster,The Notorious B.I.G.,The Notorious B.I.G.,2bXI4Rbw1D7aVeHWLjn1Lb,255893,Machine Gun Funk,1994,0.102,https://api.spotify.com/v1/audio-analysis/2bXI4Rbw1D7aVeHWLjn1Lb,0.841,255893,0.738,0.0235,4,0.0901,-5.317,0,0.3,93.725,4,https://api.spotify.com/v1/tracks/2bXI4Rbw1D7aVeHWLjn1Lb,audio_features,spotify:track:2bXI4Rbw1D7aVeHWLjn1Lb,0.305,Boom Bap
19 Naughty III,Naughty By Nature,Naughty By Nature,1w29UTa5uUvIri2tWtZ12Y,267266,Hip Hop Hooray,1993,0.102,https://api.spotify.com/v1/audio-analysis/1w29UTa5uUvIri2tWtZ12Y,0.862,267267,0.642,0.0,6,0.272,-13.652,0,0.101,99.201,4,https://api.spotify.com/v1/tracks/1w29UTa5uUvIri2tWtZ12Y,audio_features,spotify:track:1w29UTa5uUvIri2tWtZ12Y,0.765,Boom Bap
One for All,Brand Nubian,Brand Nubian,6i4Gu9ogL4kClgBzj3NZ6g,303040,Slow Down,1990,0.0798,https://api.spotify.com/v1/audio-analysis/6i4Gu9ogL4kClgBzj3NZ6g,0.731,303040,0.857,8.8e-06,9,0.0772,-13.358,1,0.19,95.879,4,https://api.spotify.com/v1/tracks/6i4Gu9ogL4kClgBzj3NZ6g,audio_features,spotify:track:6i4Gu9ogL4kClgBzj3NZ6g,0.691,Boom Bap
The Low End Theory,A Tribe Called Quest,A Tribe Called Quest,0301nLjG0ti26rx5ZmfqtP,250133,Scenario - LP Mix,1991,0.112,https://api.spotify.com/v1/audio-analysis/0301nLjG0ti26rx5ZmfqtP,0.795,250133,0.6,0.000171,2,0.111,-14.004,1,0.341,101.78,4,https://api.spotify.com/v1/tracks/0301nLjG0ti26rx5ZmfqtP,audio_features,spotify:track:0301nLjG0ti26rx5ZmfqtP,0.633,Boom Bap
Ill Na Na,Foxy Brown,"Foxy Brown, JAY Z",6Ag4SYLUGFdnJrCwUIb4mT,178600,I'll Be,1996,0.0156,https://api.spotify.com/v1/audio-analysis/6Ag4SYLUGFdnJrCwUIb4mT,0.873,178600,0.597,0.0,11,0.324,-9.161,0,0.417,105.933,4,https://api.spotify.com/v1/tracks/6Ag4SYLUGFdnJrCwUIb4mT,audio_features,spotify:track:6Ag4SYLUGFdnJrCwUIb4mT,0.474,Boom Bap
